year,month,julian,LogEC,Turb2,Turb3,Turb4,TempAir,WindSpeed,WindDir,Humidity,BaroPress,OregonUV,ToledoUV,RAIN48,RAIN24,LakeLEvel,SolarRad,Temp2,Temp3,Temp4,AM1,AM2,AM3,B1,B2,B3
2008,5,148,2.633468456,84.5,98.5,92.5,53.2,12,0.785398163,71,30.03,8,8,0,0.06,580.8,478.18,53.3,58.4,58.6,4,4,4,0,0,0
2008,5,149,2.146128036,87.5,87.5,87,50,14,0.785398163,53,30.41,8,8,0,0,572.2,281.27,56.7,59.7,59,4,4,4,20,0,0
2008,5,150,1.579783597,28.5,26.5,29.5,62.1,0,0,29,30.28,9,9,0,0,572.1,756.07,60.1,61,59.4,4,4,4,0,0,0
2008,6,154,1.380211242,38,48.5,39.5,69.1,6,3.534291735,52,30.01,8,8,0,0,572.3,722.65,68,66.2,66.7,4,4,4,70,200,15
2008,6,155,1.079181246,38.5,33,26.5,64.9,9,3.141592654,84,29.84,2,2,0.28,0,571.9,615.04,66.9,66.9,66.6,4,4,4,0,0,0
2008,6,156,2.602059991,56.5,82,65.5,64,0,0,93,29.66,6,6,0.61,0.33,572.61,171.31,65.8,66.6,66.7,4,4,4,0,0,0
2008,6,157,1.785329835,19,22.5,23.5,78.1,7,4.319689899,68,29.83,9,9,0,0,572.305,383.76,69.1,68,68.9,4,4,4,0,0,0
2008,6,161,2.491361694,13.5,13,15,82.9,15,3.534291735,58,29.85,10,10,0.07,0.07,572,642.27,74.1,73.9,74.8,4,4,4,50,0,120
2008,6,162,2.079181246,10,10,10.5,66.9,22,4.71238898,84,29.88,8,8,0.69,0.62,572.6,610.88,74.3,73.9,74.1,4,4,4,0,0,0
2008,6,163,1.740362689,16.5,15,16.5,75.9,9,4.319689899,59,30.11,9,9,0.78,0.16,571.7,459.59,72.4,72,72.5,4,4,4,5,0,0
2008,6,164,1.77815125,10,13.5,18.95,75,12,2.35619449,61,30.14,9,9,0.16,0,572.1,663.23,75.2,74.1,74.3,4,4,4,0,0,0
2008,6,168,1.255272505,21.25,16.15,15.95,72,8,4.71238898,65,29.81,8,8,0,0,571.65,631.26,72.7,73.8,72.4,4,4,4,0,0,0
2008,6,169,1.612783857,95.75,91.75,86.45,62.1,7,4.71238898,55,29.96,7,7,0,0,571.6,646.41,68,68.7,68.9,4,4,4,0,0,50
2008,6,170,1.924279286,78.8,79.2,77.15,60,9,5.497787144,63,29.88,5,5,0,0,571.75,436.34,66.7,66.7,67.6,4,4,4,100,0,0
2008,6,171,0.954242509,48.2,51.2,51.55,63,12,4.71238898,62,29.94,5,5,0,0,571.6,337.33,66.9,67.3,68.1,4,4,4,0,1,8
2008,6,176,1.812913357,29.35,31.05,32.65,66.9,3,0.785398163,72,30.2,9,9,0.08,0.08,572,574.27,70.5,70.2,70.3,4,4,4,50,5,0
2008,6,177,1.491361694,15,13.4,16.2,69.1,5,2.748893572,67,30.18,7,7,0.08,0,571.59,504.95,71.6,71.8,72.1,4,4,4,1,27,150
2008,6,178,1.079181246,7.69,7.51,11.05,73.9,10,4.319689899,81,29.95,9,9,0.75,0.75,571.65,310.23,70.3,71.6,71.4,4,4,4,65,53,0
2008,6,182,2.113943352,50.15,49.25,51.05,64,13,5.890486225,69,29.86,5,5,1.67,0.03,571.6,467.81,69.3,69.3,69.8,4,4,4,120,5,1
2008,7,183,2.041392685,61.25,63.55,63.1,66,5,5.105088062,52,30.05,8,8,0.04,0.02,571.85,294.6,70.7,70,69.8,4,4,4,200,0,5
2008,7,184,1.698970004,18.7,16.45,23.55,72,13,3.926990817,47,29.97,9,9,0.01,0,571.48,731.01,71.1,71.6,71.2,4,4,4,0,8,0
2008,7,185,2.176091259,22.65,17.3,15.85,69,8,5.890486225,82,29.9,4,4,2.85,2.85,571.81,616.26,71.4,71.2,71.4,4,4,4,0,0,0
2008,7,189,1.62324929,15.35,16.5,14.1,73.9,7,3.141592654,76,30.03,8,8,0,0,571.85,697.92,71.8,72.1,72.3,4,4,4,2,5,80
2008,7,190,1.792391689,10.25,8.44,7.68,78.1,13,3.534291735,71,29.89,6,6,0,0,571.65,602.33,73.8,73.9,73.9,4,4,4,0,20,0
2008,7,191,1.73239376,6.36,10.37,10.35,75,12,4.71238898,73,29.86,7.5,7.5,0.74,0.74,571.8,435.16,73.8,74.1,73.9,4,4,4,0,0,0
2008,7,192,2.176091259,26.9,20.6,17.75,68,6,3.926990817,65,30.09,9,9,0.73,0,571.9,597.79,73.2,72.9,72.7,4,4,4,1,0,0
2008,7,196,0.954242509,14.3,14.35,17.05,69.1,10,4.71238898,62,29.89,8,8,0,0.2,571.4,683.77,72.9,73.2,73,4,4,4,0,200,0
