year,julian,logec,NTU,Rain_24,Rain_48,Total_X100,MGD,AVG_WATER_TEMP,WAVE_HEIGHT,AVG_AIR_TEMP,WIND_SPEED,LAKELEVEL_MLWK,X3qtr
2007,148,0.716003344,0.3,0,0.02,8529,0.16,47,0,55.7,4.7,176.052,0
2007,149,0.698970004,0.5,0,0,10357,0.19,51.5,0,54.7,0,176.113,0
2007,150,1.338456494,0.9,0,0,12148,0.19,51.5,0,61,2.2,176.104,0
2007,151,0.716003344,1,0,0,1362,0.16,50.5,1,60.35,1.2,176.114,0
2007,152,1.396199347,2.5,0.1,0.1,1943,0.17,51,0,55.3,1.2,176.092,0
2007,153,1.812913357,1.2,0.38,0.48,13111,0.26,57.1,0,61.5,1.2,176.102,0
2007,154,1.243038049,1.3,0.19,0.57,13243,0.39,58.85,0,60.15,4.7,176.079,0
2007,155,3.080373917,2.3,0.52,0.71,16170,0.41,59.75,0,58.2,2.2,176.132,0
2007,156,3.019614716,2.2,0.21,0.73,8790,0.44,56,1.25,55.4,4.7,176.135,0
2007,157,2.331022171,1.8,0,0.21,3380,0.25,54.2,1,56.55,5.8,176.123,0
2007,158,1.152288344,4.7,0.07,0.07,3356,0.28,48.2,3.5,59.45,3,176.2,0
2007,159,0.908485019,4.7,0.17,0.24,9344,0.46,51.5,1.5,68.6,8.1,176.111,0
2007,160,0.301029996,2.3,0,0.17,2697,0.23,50.15,0,63.65,0,176.131,0
2007,161,1.170261715,2.6,0,0,1943,0.18,47.75,0,59.6,0,176.143,0
2007,162,1.238046103,1.3,0,0,1843,0.17,48.05,0,60.25,0,176.126,0
2007,163,0,0.7,0,0,1456,0.12,48.05,0,60.35,0,176.142,0
2007,164,0.612783857,1.3,0,0,1137,0.13,58.9,0,65.25,1,176.132,0
2007,165,2.11991541,0.8,0,0,914,0.08,60.85,0,64.25,0,176.113,0
2007,166,0,0.8,0,0,826,0.09,60.85,0,67.05,0,176.12,0
2007,167,0.301029996,0.8,0,0,739,0.09,65.05,0,73.1,0,176.112,0
2007,168,1.385606274,1.1,0.53,0.53,10703,0.1,59.75,0.5,67.15,0,176.115,0
2007,169,1.501059262,3.1,0.02,0.55,751,0.07,63.4,1,75.3,0,176.117,0
2007,170,1.495544338,2.3,0.52,0.54,10407,0.28,46.7,1,64.9,2,176.056,0
2007,171,0.86923172,1.1,0,0.52,11502,0.06,48.45,0,63.25,0,176.033,0
2007,172,0.934498451,1.6,0,0,486,0.06,48.65,0.5,69.7,3,176.11,0
2007,173,0.934498451,1.3,0,0,438,0.05,51.45,1.25,60.95,2,176.139,0
2007,174,0.612783857,1.4,0,0,465,0.06,57.35,2,68.25,2,176.122,0
2007,175,1.367355921,0.9,0,0,439,0.05,61.15,2,68.1,1,176.124,0
2007,176,1.037426498,0.8,0,0,327,0.05,58.8,0,63.35,0,176.108,0
2007,177,1.709269961,0.6,0,0,392,0.05,59.2,0,69.6,0,176.112,0
2007,178,0.301029996,0.7,0,0,276,0.04,54.15,0.5,76.1,1,176.091,0
2007,179,2.176091259,1.6,0,0,293,0.02,53.25,1,61.8,8,176.094,0
2007,180,0.799340549,4,0,0,294,0.04,57.95,0.75,54.45,2,176.12,0
2007,181,1.170261715,2,0,0,202,0.04,60.7,0,59,0,176.068,0
2007,182,2.35831564,4.5,0,0,94,0.04,62.55,1,59.45,6,176.142,0
2007,183,1.161368002,4.7,0,0,56,0.01,62.9,1.75,61.7,2,176.132,0
2007,184,1.075546961,2.2,0,0,53,0,64.1,0.5,63.95,2,176.092,0
2007,185,0.986771734,4.9,1.38,1.38,40250,0.21,59.9,2.25,72.5,2,176.069,0
2007,186,1.041392685,1.2,0,1.38,1027,0.08,57.4,0,68.65,0,176.103,0
2007,187,0.968482949,1,0.01,0.01,1131,0.58,62.9,0,65.3,0,176.122,0
2007,188,0.491361694,0.9,0,0.01,869,0.04,63,0,81.8,1,176.069,0
2007,189,0.301029996,1.2,0,0,404,0.05,55.45,1.25,77.55,1,176.036,0
2007,190,0.491361694,0.5,0,0,186,0,49.5,0.5,76.75,0,176.062,0
2007,191,1.390935107,0.6,0.21,0.21,3909,0.04,53,0,69.95,1,176.075,0
2007,192,0.991226076,0.6,0.28,0.49,5307,0.07,48.95,0,58.55,2,175.98,0
2007,193,0.929418926,1.2,0,0.28,399,0.03,50.05,0,60.55,0,175.994,0
2007,194,0.301029996,0.5,0,0,211,0,49.05,0,57.4,3,176.023,0
2007,195,0.301029996,1.2,0.03,0.03,208,0.02,51.5,1.5,63.9,2,176,0
2007,196,0.991226076,1.8,0,0.03,182,0,54.5,0,60.9,0,176.016,0
2007,197,0.716003344,0.9,0,0,50,0,50.95,0,62.9,0,176.039,1
2007,198,1.334453751,1.3,0.02,0.02,71,0,55.2,0,65.6,0,176.082,1
